bikeid;rental_start_date;rental_end_date;duration;fare_(in_cents);starting_location;ending_location;rough_distance_(km);start_latitude;start_longitude;end_latitude;end_longitude
1224;2021-06-11 15:51:00;2021-06-11 16:23:00;32.0;200;37.8667344,32.4245685;37.864341735839844,32.453548431396484;2.557825864;37.8667344;32.4245685;37.864341735839844;32.453548431396484
1095;2021-06-11 15:30:00;2021-06-11 17:20:00;110.0;350;37.9791242,32.5171675;999,999;14574.48748;37.9791242;32.5171675;999.0;999.0
1032;2021-06-11 15:21:00;2021-06-11 16:42:00;81.0;350;37.8740354,32.4896512;37.87400817871094,32.48958969116211;0.006189444;37.8740354;32.4896512;37.87400817871094;32.48958969116211
1226;2021-06-11 15:20:00;2021-06-11 17:20:00;120.0;350;37.8723394,32.4941516;37.87211990356445,32.49422073364258;0.025149942;37.8723394;32.4941516;37.87211990356445;32.49422073364258
1060;2021-06-11 15:16:00;2021-06-11 15:20:00;4.0;50;37.8739832,32.4897092;37.874080657958984,32.48952865600586;0.019197951;37.8739832;32.4897092;37.874080657958984;32.48952865600586
1097;2021-06-11 15:06:00;2021-06-11 16:39:00;93.0;350;37.9042998,32.4954101;37.888450622558594,32.4935417175293;1.769957211;37.9042998;32.4954101;37.888450622558594;32.4935417175293
1251;2021-06-11 15:05:00;2021-06-11 15:34:00;29.0;200;37.9043439,32.4954669;37.88835144042969,32.493629455566406;1.785574407;37.9043439;32.4954669;37.88835144042969;32.493629455566406
1314;2021-06-11 15:05:00;2021-06-11 15:33:00;28.0;200;37.90433417768129,32.495474109875914;37.888450622558594,32.493709564208984;1.772944513;37.90433417768129;32.495474109875914;37.888450622558594;32.493709564208984
1215;2021-06-11 14:52:00;2021-06-11 16:39:00;107.0;350;37.9791243,32.517177;38.00947189331055,32.522491455078125;3.406481966;37.9791243;32.517177;38.00947189331055;32.522491455078125
1265;2021-06-11 14:51:00;2021-06-11 15:45:00;54.0;200;37.9790957,32.5171483;37.97914123535156,32.51713943481445;0.005122573;37.9790957;32.5171483;37.97914123535156;32.51713943481445
